Date,Cases - Total,Date-1,Avg_DP
3/1/2020,0,2/23/2020,28
3/2/2020,0,2/24/2020,30.2
3/3/2020,0,2/25/2020,31
3/4/2020,0,2/26/2020,23
3/5/2020,1,2/27/2020,13.4
3/6/2020,3,2/28/2020,6.8
3/7/2020,3,2/29/2020,9.2
3/8/2020,3,3/1/2020,32.9
3/9/2020,5,3/2/2020,30.6
3/10/2020,11,3/3/2020,28.4
3/11/2020,12,3/4/2020,26.5
3/12/2020,21,3/5/2020,26.8
3/13/2020,33,3/6/2020,23.1
3/14/2020,31,3/7/2020,21.9
3/15/2020,40,3/8/2020,25.3
3/16/2020,78,3/9/2020,46.4
3/17/2020,96,3/10/2020,34.7
3/18/2020,162,3/11/2020,31.7
3/19/2020,186,3/12/2020,37
3/20/2020,156,3/13/2020,20
3/21/2020,125,3/14/2020,24.8
3/22/2020,169,3/15/2020,25.1
3/23/2020,292,3/16/2020,33.6
3/24/2020,352,3/17/2020,24.9
3/25/2020,368,3/18/2020,37.1
3/26/2020,415,3/19/2020,48
3/27/2020,406,3/20/2020,36.3
3/28/2020,253,3/21/2020,17.7
3/29/2020,283,3/22/2020,28.1
3/30/2020,443,3/23/2020,32.9
3/31/2020,490,3/24/2020,33.2
4/1/2020,460,3/25/2020,39.8
4/2/2020,442,3/26/2020,42.2
4/3/2020,468,3/27/2020,43.1
4/4/2020,326,3/28/2020,50.2
4/5/2020,292,3/29/2020,39.5
4/6/2020,586,3/30/2020,33.3
4/7/2020,561,3/31/2020,34.3
4/8/2020,702,4/1/2020,36.3
4/9/2020,580,4/2/2020,33.1
4/10/2020,572,4/3/2020,39.5
4/11/2020,398,4/4/2020,39
4/12/2020,341,4/5/2020,28.4
4/13/2020,693,4/6/2020,42.1
4/14/2020,663,4/7/2020,58.3
4/15/2020,633,4/8/2020,50.1
4/16/2020,681,4/9/2020,24.9
4/17/2020,780,4/10/2020,23.9
4/18/2020,538,4/11/2020,32
4/19/2020,464,4/12/2020,49.2
4/20/2020,993,4/13/2020,27
4/21/2020,874,4/14/2020,17.7
4/22/2020,1060,4/15/2020,20.9
4/23/2020,1471,4/16/2020,14.9
4/24/2020,1080,4/17/2020,31.7
4/25/2020,637,4/18/2020,31.4
4/26/2020,434,4/19/2020,32.5
4/27/2020,1158,4/20/2020,33.2
4/28/2020,1323,4/21/2020,18.5
4/29/2020,1156,4/22/2020,31
4/30/2020,1283,4/23/2020,43.5
5/1/2020,1173,4/24/2020,40.1
5/2/2020,718,4/25/2020,40.7
5/3/2020,466,4/26/2020,31.6
5/4/2020,1133,4/27/2020,41.1
5/5/2020,1092,4/28/2020,57.1
5/6/2020,976,4/29/2020,52
5/7/2020,939,4/30/2020,39.4
5/8/2020,926,5/1/2020,36.1
5/9/2020,522,5/2/2020,47
5/10/2020,307,5/3/2020,36
5/11/2020,1016,5/4/2020,34.1
5/12/2020,943,5/5/2020,36.5
5/13/2020,878,5/6/2020,26.3
5/14/2020,780,5/7/2020,33.3
5/15/2020,991,5/8/2020,25.3
5/16/2020,516,5/9/2020,22.3
5/17/2020,326,5/10/2020,38.5
5/18/2020,948,5/11/2020,33.2
5/19/2020,897,5/12/2020,28.9
5/20/2020,777,5/13/2020,31.6
5/21/2020,806,5/14/2020,59.5
5/22/2020,726,5/15/2020,59.7
